wall,sim,status,arm_joint1,arm_joint2,arm_joint3,arm_joint4,arm_joint5,r_joint,cube_z,tcp_z,cube_tcp,cube_right,cube_left
1.3128,145.6780,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000092,7.263297,0.784326,1.501759,-0.000063,1.000000,0.020000,0.085279,0.085939,0.102867,0.098357
1.3319,145.6980,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000092,7.283297,0.770093,1.496064,-0.000061,1.000000,0.020000,0.082442,0.083000,0.099998,0.095437
1.3531,145.7180,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000092,7.303297,0.755867,1.490373,-0.000059,1.000000,0.020000,0.081013,0.081539,0.098570,0.093984
1.3732,145.7380,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000092,7.323296,0.741658,1.484688,-0.000058,1.000000,0.020000,0.076685,0.077200,0.094317,0.089655
1.3932,145.7580,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000092,7.343296,0.727478,1.479015,-0.000056,1.000000,0.020000,0.073764,0.074351,0.091513,0.086800
1.4130,145.7780,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000092,7.363296,0.713335,1.473357,-0.000054,1.000000,0.020000,0.072293,0.072943,0.090121,0.085383
1.4331,145.7980,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,7.383295,0.699241,1.467718,-0.000053,1.000000,0.020000,0.067838,0.068793,0.085999,0.081187
1.4611,145.8180,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,7.403295,0.685205,1.462103,-0.000051,1.000000,0.020000,0.066339,0.067439,0.084644,0.079808
1.4800,145.8380,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,7.423294,0.671238,1.456515,-0.000050,1.000000,0.020000,0.061800,0.063483,0.080650,0.075745
1.4966,145.8580,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,7.443294,0.657350,1.450958,-0.000048,1.000000,0.020000,0.060273,0.062205,0.079345,0.074418
1.5175,145.8780,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,7.463294,0.643551,1.445438,-0.000047,1.000000,0.020000,0.057198,0.059722,0.076780,0.071814
1.5376,145.8980,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,7.483293,0.629851,1.439957,-0.000045,1.000000,0.020000,0.052532,0.056211,0.073066,0.068050
1.5588,145.9180,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000094,7.503293,0.616262,1.434520,-0.000044,1.000000,0.020000,0.049387,0.054041,0.070694,0.065654
1.5778,145.9380,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000094,7.523292,0.602792,1.429131,-0.000042,1.000000,0.020000,0.047805,0.053015,0.069543,0.064495
1.5996,145.9580,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000094,7.543292,0.589453,1.423795,-0.000041,1.000000,0.020000,0.043015,0.050215,0.066258,0.061202
1.6228,145.9780,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000094,7.563292,0.576254,1.418514,-0.000040,1.000000,0.020000,0.041404,0.049386,0.065225,0.060172
1.6430,145.9980,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000095,7.583291,0.563206,1.413294,0.000041,1.000000,0.020000,0.036534,0.047258,0.062339,0.057326
1.6631,146.0180,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000095,7.603291,0.550319,1.408138,-0.000048,1.000000,0.020000,0.033253,0.046178,0.060620,0.055657
1.6904,146.0380,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000095,7.623290,0.537603,1.403051,-0.000042,1.000000,0.020000,0.031603,0.045750,0.059829,0.054901
1.7084,146.0580,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000095,7.643290,0.525068,1.398036,-0.000078,1.000000,0.020000,0.028284,0.045135,0.058398,0.053560
1.7282,146.0780,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000096,7.663289,0.512726,1.393098,-0.000043,1.000000,0.020000,0.024940,0.044860,0.057188,0.052468
1.7505,146.0980,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000096,7.683289,0.500585,1.388241,-0.000076,1.000000,0.020000,0.019878,0.045120,0.055834,0.051352
1.7680,146.1180,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000112,7.703169,0.488556,1.383422,-0.000113,1.000083,0.019791,0.018187,0.046094,0.056045,0.051862
1.7880,146.1380,Opening gripper and moving camera/gripper to the visually aligned cube,0.004177,7.724010,0.470956,1.376152,0.030781,0.972767,0.017720,0.017790,0.050096,0.059146,0.055512
1.8082,146.1580,Opening gripper and moving camera/gripper to the visually aligned cube,0.008523,7.731194,0.455033,1.367769,-0.019215,0.998360,0.021938,0.014237,0.056156,0.062925,0.061846
1.8279,146.1780,Opening gripper and moving camera/gripper to the visually aligned cube,0.006948,7.761919,0.451253,1.368247,-0.023053,0.993829,0.022705,0.010598,0.057587,0.063332,0.063247
1.8498,146.1980,Opening gripper and moving camera/gripper to the visually aligned cube,0.005663,7.782376,0.441793,1.364716,-0.033833,0.993147,0.022759,0.006390,0.059938,0.064751,0.064669
1.8676,146.2180,Opening gripper and moving camera/gripper to the visually aligned cube,0.004521,7.802536,0.431090,1.360426,-0.024691,0.997651,0.022728,0.004318,0.061002,0.066553,0.063857
1.8886,146.2380,Opening gripper and moving camera/gripper to the visually aligned cube,0.003834,7.822567,0.420886,1.356284,-0.018930,0.998818,0.022241,0.000045,0.061632,0.065522,0.062456
1.9086,146.2580,Opening gripper and moving camera/gripper to the visually aligned cube,0.003178,7.842690,0.411021,1.352383,-0.013048,0.999631,0.022300,-0.005683,0.065369,0.064898,0.046602
1.9282,146.2780,Opening gripper and moving camera/gripper to the visually aligned cube,0.003894,7.859216,0.398287,1.344514,0.009712,0.999186,0.025268,-0.007366,0.070782,0.069137,0.044033
1.9490,146.2980,Opening gripper and moving camera/gripper to the visually aligned cube,0.006470,7.883031,0.391023,1.341198,0.009587,1.000101,0.019266,-0.009922,0.077315,0.076434,0.054511
1.9688,146.3180,Opening gripper and moving camera/gripper to the visually aligned cube,0.016512,7.889112,0.371673,1.339328,0.006605,1.002842,0.023915,-0.009720,0.091700,0.091755,0.080958
1.9875,146.3380,Opening gripper and moving camera/gripper to the visually aligned cube,0.017261,7.921105,0.369468,1.331252,0.018166,0.999838,0.024048,-0.011815,0.095734,0.096818,0.085720
2.0094,146.3580,Opening gripper and moving camera/gripper to the visually aligned cube,0.013407,7.941344,0.362646,1.330719,0.016957,1.000329,0.024786,-0.018118,0.100080,0.101352,0.092894
2.0513,146.3880,Opening gripper and moving camera/gripper to the visually aligned cube,0.013461,7.980593,0.336512,1.321971,0.173531,0.999423,0.023402,-0.016242,0.102363,0.103651,0.105369
2.0528,146.3980,Opening gripper and moving camera/gripper to the visually aligned cube,0.013461,7.980593,0.336512,1.321971,0.173531,0.999423,0.023402,-0.016242,0.102363,0.103651,0.105369
2.0706,146.4180,Grasp descent wrist guard stopped collision rotation: joint5=0.174 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,0.017425,8.000783,0.325041,1.317347,0.302213,0.995183,0.021559,-0.010732,0.103560,0.113347,0.113979
2.0900,146.4380,Grasp descent wrist guard stopped collision rotation: joint5=0.174 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,0.016672,8.021475,0.315564,1.313841,0.423341,0.997121,0.020450,-0.005344,0.099153,0.104091,0.059224
2.1106,146.4580,Grasp descent wrist guard stopped collision rotation: joint5=0.174 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,0.015710,7.989962,0.320670,1.312116,0.418973,0.976381,0.022724,-0.006211,0.095785,0.070044,0.048416
2.1297,146.4780,Grasp descent wrist guard stopped collision rotation: joint5=0.174 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,0.017418,7.972726,0.322016,1.312739,0.277563,0.988368,0.023569,-0.006634,0.095054,0.103692,0.083000
2.1509,146.4980,Grasp descent wrist guard stopped collision rotation: joint5=0.174 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,0.016636,7.954029,0.327133,1.314368,0.187774,0.996369,0.025442,-0.006178,0.093152,0.106636,0.078939
2.1697,146.5180,Grasp descent wrist guard stopped collision rotation: joint5=0.174 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,0.015430,7.934749,0.333604,1.317831,0.129429,0.999557,0.025985,-0.005702,0.092395,0.105174,0.070563
