wall,sim,status,arm_joint1,arm_joint2,arm_joint3,arm_joint4,arm_joint5,r_joint,cube_z,tcp_z,cube_tcp,cube_right,cube_left
0.9669,162.0680,Opening gripper and moving camera/gripper to the visually aligned cube,0.000171,6.903285,1.017368,1.595028,0.000136,-5.283182,0.020000,0.133630,0.139261,0.153547,0.153314
0.9861,162.0880,Opening gripper and moving camera/gripper to the visually aligned cube,0.000157,6.923286,1.004571,1.589911,0.000129,-5.283182,0.020000,0.131308,0.136394,0.150696,0.150507
1.0050,162.1080,Opening gripper and moving camera/gripper to the visually aligned cube,0.000157,6.923286,1.004571,1.589911,0.000129,-5.283182,0.020000,0.130120,0.134943,0.149257,0.149089
1.0247,162.1280,Opening gripper and moving camera/gripper to the visually aligned cube,0.000161,6.943286,0.991624,1.584726,0.000130,-5.283182,0.020000,0.127726,0.132028,0.146370,0.146245
1.0452,162.1480,Opening gripper and moving camera/gripper to the visually aligned cube,0.000156,6.963287,0.978512,1.579479,0.000130,-5.283182,0.020000,0.124130,0.127648,0.142030,0.141975
1.0648,162.1680,Opening gripper and moving camera/gripper to the visually aligned cube,0.000143,6.983290,0.965244,1.574175,0.000124,-5.283181,0.020000,0.122906,0.126175,0.140572,0.140541
1.0847,162.1880,Opening gripper and moving camera/gripper to the visually aligned cube,0.000147,7.003288,0.951857,1.568814,0.000125,-5.283181,0.020000,0.120442,0.123217,0.137650,0.137666
1.1051,162.2080,Opening gripper and moving camera/gripper to the visually aligned cube,0.000127,7.043292,0.924690,1.557948,0.000117,-5.283180,0.020000,0.116735,0.118776,0.133260,0.133356
1.1245,162.2280,Opening gripper and moving camera/gripper to the visually aligned cube,0.000127,7.043292,0.924690,1.557948,0.000117,-5.283180,0.020000,0.115474,0.117285,0.131788,0.131911
1.1452,162.2480,Opening gripper and moving camera/gripper to the visually aligned cube,0.000132,7.063290,0.910957,1.552449,0.000118,-5.283181,0.020000,0.111655,0.112794,0.127360,0.127565
1.1647,162.2680,Opening gripper and moving camera/gripper to the visually aligned cube,0.000124,7.103291,0.883197,1.541342,0.000116,-5.283181,0.020000,0.110368,0.111292,0.125881,0.126115
1.1843,162.2880,Opening gripper and moving camera/gripper to the visually aligned cube,0.000124,7.103291,0.883197,1.541342,0.000116,-5.283181,0.020000,0.107801,0.108293,0.122931,0.123219
1.2048,162.3080,Opening gripper and moving camera/gripper to the visually aligned cube,0.000113,7.143292,0.855140,1.530115,0.000121,-5.283181,0.020000,0.103862,0.103776,0.118472,0.118867
1.2252,162.3280,Opening gripper and moving camera/gripper to the visually aligned cube,0.000113,7.143292,0.855140,1.530115,0.000121,-5.283181,0.020000,0.101228,0.100773,0.115503,0.115976
1.2445,162.3480,Opening gripper and moving camera/gripper to the visually aligned cube,0.000094,7.163295,0.841020,1.524468,0.000108,-5.283180,0.020000,0.099888,0.099265,0.114015,0.114525
1.2669,162.3680,Opening gripper and moving camera/gripper to the visually aligned cube,0.000084,7.203297,0.812668,1.513124,0.000217,-5.283179,0.020000,0.095852,0.094756,0.109557,0.110189
1.2845,162.3880,Opening gripper and moving camera/gripper to the visually aligned cube,0.000095,7.223295,0.798457,1.507435,0.000110,-5.283180,0.020000,0.093110,0.091748,0.106580,0.107299
1.3040,162.4080,Opening gripper and moving camera/gripper to the visually aligned cube,0.000072,7.243269,0.784264,1.501742,0.000090,-5.283181,0.020000,0.091752,0.090255,0.105099,0.105868
1.3250,162.4280,Opening gripper and moving camera/gripper to the visually aligned cube,0.000075,7.263272,0.770063,1.496048,0.000070,-5.283183,0.020000,0.087553,0.085722,0.100634,0.101545
1.3453,162.4480,Opening gripper and moving camera/gripper to the visually aligned cube,0.000067,7.283280,0.755848,1.490360,0.000075,-5.283184,0.020000,0.084718,0.082714,0.097660,0.098673
1.3643,162.4680,Opening gripper and moving camera/gripper to the visually aligned cube,0.000062,7.303284,0.741646,1.484677,0.000080,-5.283184,0.020000,0.083289,0.081218,0.096174,0.097243
1.3844,162.4880,Opening gripper and moving camera/gripper to the visually aligned cube,0.000058,7.323287,0.727470,1.479004,0.000079,-5.283184,0.020000,0.078962,0.076769,0.091729,0.092980
