wall,sim,status,arm_joint1,arm_joint2,arm_joint3,arm_joint4,arm_joint5,r_joint,cube_z,tcp_z,cube_tcp,cube_right,cube_left
1.8455,207.4280,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,0.078420,0.954908,1.570025,0.000091,1.000001,0.020000,0.250398,0.242539,0.261828,0.256331
1.8846,207.4480,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,0.098420,0.941052,1.564480,0.000089,1.000001,0.020000,0.249936,0.241661,0.260947,0.255444
1.9259,207.4680,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,0.118420,0.927071,1.558885,0.000087,1.000001,0.020000,0.248509,0.239022,0.258299,0.252775
1.9649,207.4880,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,0.138420,0.912976,1.553245,0.000085,1.000001,0.020000,0.247521,0.237258,0.256525,0.250989
2.0043,207.5080,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000092,0.158419,0.898780,1.547564,0.000083,1.000001,0.020000,0.247015,0.236374,0.255636,0.250093
2.0522,207.5280,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000092,0.178419,0.884492,1.541847,0.000081,1.000001,0.020000,0.245445,0.233712,0.252954,0.247393
2.0873,207.5480,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000092,0.198418,0.870125,1.536098,0.000079,1.000001,0.020000,0.244354,0.231927,0.251155,0.245581
2.1244,207.5680,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000092,0.218418,0.855688,1.530321,0.000076,1.000001,0.020000,0.243223,0.230134,0.249344,0.243758
2.1638,207.5880,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000092,0.238417,0.841194,1.524521,0.000074,1.000001,0.020000,0.242643,0.229233,0.248434,0.242842
2.2043,207.6080,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000092,0.258417,0.826654,1.518703,0.000072,1.000001,0.020000,0.241451,0.227422,0.246604,0.240999
2.2461,207.6280,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000092,0.278416,0.812078,1.512871,0.000070,1.000001,0.020000,0.239579,0.224681,0.243829,0.238207
2.2867,207.6480,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000092,0.298416,0.797477,1.507028,0.000068,1.000001,0.020000,0.238932,0.223760,0.242896,0.237267
2.3239,207.6680,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000092,0.318415,0.782863,1.501181,0.000067,1.000001,0.020000,0.237601,0.221905,0.241016,0.235375
2.3633,207.6880,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000092,0.338414,0.768247,1.495332,0.000065,1.000001,0.020000,0.236220,0.220031,0.239115,0.233463
2.4051,207.7080,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000091,0.358414,0.753639,1.489488,0.000063,1.000001,0.020000,0.234787,0.218137,0.237193,0.231529
2.4451,207.7280,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000091,0.378413,0.739052,1.483651,0.000061,1.000001,0.020000,0.232533,0.215253,0.234265,0.228582
2.4838,207.7480,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000091,0.398412,0.724496,1.477827,0.000059,1.000001,0.020000,0.231754,0.214279,0.233276,0.227587
2.5298,207.7680,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000091,0.418412,0.709982,1.472020,0.000057,1.000001,0.020000,0.229325,0.211317,0.230266,0.224559
2.5707,207.7880,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000091,0.438411,0.695521,1.466234,0.000055,1.000001,0.020000,0.228485,0.210315,0.229248,0.223535
2.6091,207.8080,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000091,0.458410,0.681125,1.460474,0.000053,1.000001,0.020000,0.225869,0.207260,0.225878,0.220170
2.6497,207.8280,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000091,0.478410,0.666804,1.454744,0.000051,0.990001,0.020000,0.224964,0.206224,0.224562,0.218872
2.6885,207.8480,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000091,0.498409,0.652570,1.449049,0.000049,0.970001,0.020000,0.222148,0.203062,0.220569,0.214938
2.7274,207.8680,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000091,0.518408,0.638433,1.443394,0.000047,0.950001,0.020000,0.221174,0.201988,0.219222,0.213611
2.7685,207.8880,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000091,0.538408,0.624406,1.437782,0.000045,0.930001,0.020000,0.219173,0.199809,0.216504,0.210935
2.8092,207.9080,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,0.558407,0.610498,1.432217,0.000043,0.910001,0.020000,0.216033,0.196456,0.212358,0.206857
2.8482,207.9280,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,0.578406,0.596721,1.426706,0.000042,0.890001,0.020000,0.214949,0.195315,0.210957,0.205479
2.8873,207.9480,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,0.598406,0.583087,1.421251,0.000040,0.870001,0.020000,0.212722,0.192995,0.208124,0.202694
2.9278,207.9680,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,0.618405,0.569605,1.415858,0.000038,0.850001,0.020000,0.209232,0.189415,0.203794,0.198437
2.9685,207.9880,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,0.638404,0.556289,1.410530,0.000036,0.830001,0.020000,0.206803,0.186957,0.200848,0.195543
3.0087,208.0080,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,0.658404,0.543147,1.405273,0.000035,0.810001,0.020000,0.205557,0.185706,0.199357,0.194078
3.0472,208.0280,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,0.678403,0.530192,1.400090,0.000033,0.790001,0.020000,0.203001,0.183158,0.196336,0.191110
3.0898,208.0480,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,0.698403,0.517435,1.394986,0.000031,0.770001,0.020000,0.200358,0.180545,0.193261,0.188090
3.1285,208.0680,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,0.718402,0.504887,1.389967,0.000030,0.760001,0.020000,0.196250,0.176521,0.189247,0.184038
3.1707,208.0880,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,0.738402,0.492473,1.384952,0.000028,0.760001,0.020000,0.194896,0.175207,0.187934,0.182713
3.2083,208.1080,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,0.758401,0.479693,1.379460,0.000026,0.760001,0.020000,0.190965,0.171437,0.184153,0.178899
3.2556,208.1280,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,0.778401,0.466477,1.373424,0.000025,0.760001,0.020000,0.188448,0.169068,0.181765,0.176491
3.2927,208.1480,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,0.798401,0.452844,1.366862,0.000024,0.760001,0.020000,0.186011,0.166814,0.179481,0.174191
3.3279,208.1680,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,0.818400,0.438809,1.359792,0.000022,0.760001,0.020000,0.184822,0.165731,0.178379,0.173081
3.3688,208.1880,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,0.838400,0.424381,1.352223,0.000021,0.760000,0.020000,0.182503,0.163653,0.176256,0.170946
3.4109,208.2080,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,0.858400,0.409568,1.344163,0.000020,0.760000,0.020000,0.179169,0.160767,0.173278,0.167957
3.4522,208.2280,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,0.878399,0.394378,1.335621,0.000018,0.760000,0.020000,0.177044,0.158999,0.171435,0.166110
3.4886,208.2480,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,0.898399,0.378820,1.326608,0.000017,0.760000,0.020000,0.174996,0.157361,0.169707,0.164383
3.5281,208.2680,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,0.918399,0.362901,1.317131,0.000016,0.760000,0.020000,0.173026,0.155855,0.168098,0.162779
3.5730,208.2880,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,0.938399,0.346631,1.307201,0.000016,0.760000,0.020000,0.171135,0.154485,0.166611,0.161301
3.6085,208.3080,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,0.958398,0.330016,1.296825,-0.000017,0.760000,0.020000,0.170219,0.153851,0.165912,0.160610
3.6486,208.3280,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,0.978398,0.313067,1.286013,0.000019,0.760000,0.020000,0.168446,0.152689,0.164610,0.159324
3.6871,208.3480,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,0.998398,0.295790,1.274775,0.000033,0.760000,0.020000,0.166754,0.151668,0.163434,0.158170
3.7267,208.3680,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,1.018398,0.278194,1.263119,-0.000022,0.760000,0.020000,0.165143,0.150790,0.162385,0.157149
3.7673,208.3880,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,1.038397,0.260288,1.251055,0.000022,0.760000,0.020000,0.163614,0.150057,0.161466,0.156261
3.8072,208.4080,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,1.058397,0.242080,1.238591,0.000030,0.760000,0.020000,0.162168,0.149469,0.160675,0.155510
3.8480,208.4280,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,1.078397,0.223577,1.225736,0.000035,0.760000,0.020000,0.160807,0.149027,0.160015,0.154894
3.8890,208.4480,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,1.098397,0.204789,1.212500,0.000036,0.760000,0.020000,0.158926,0.148636,0.159268,0.154224
3.9262,208.4680,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,1.118397,0.185724,1.198892,0.000036,0.760000,0.020000,0.158343,0.148578,0.159084,0.154068
3.9673,208.4880,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,1.138396,0.166389,1.184921,0.000036,0.760000,0.020000,0.157242,0.148567,0.158811,0.153855
4.0069,208.5080,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,1.158396,0.146794,1.170596,0.000036,0.759999,0.020000,0.156230,0.148696,0.158664,0.153774
4.0468,208.5280,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,1.178396,0.126945,1.155926,0.000037,0.759999,0.020000,0.154862,0.149122,0.158654,0.153874
4.0852,208.5480,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000091,1.198396,0.106945,1.140920,0.000037,0.759999,0.020000,0.154428,0.149306,0.158689,0.153945
4.1258,208.5680,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000091,1.218395,0.086946,1.125587,0.000038,0.759999,0.020000,0.153188,0.149965,0.158888,0.154264
4.1659,208.5880,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000091,1.238395,0.066946,1.109937,0.000038,0.759999,0.020000,0.152414,0.150492,0.159099,0.154558
4.2075,208.6080,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000091,1.258395,0.046946,1.093977,0.000039,0.759999,0.020000,0.151683,0.151083,0.159370,0.154915
4.2472,208.6280,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000091,1.278395,0.026946,1.077719,0.000040,0.759999,0.020000,0.150997,0.151735,0.159698,0.155329
4.2877,208.6480,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000091,1.298395,0.006948,1.061170,0.000041,0.759999,0.020000,0.150671,0.152082,0.159885,0.155558
4.3248,208.6680,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000091,1.318394,-0.013049,1.044339,0.000042,0.759999,0.020000,0.149761,0.153202,0.160511,0.156320
4.3657,208.6880,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000091,1.338394,-0.033054,1.027237,0.000043,0.759999,0.020000,0.155962,0.160076,0.166915,0.162922
4.4055,208.7080,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000091,1.339417,-0.053054,1.009871,0.000044,0.759999,0.020000,0.160137,0.164440,0.171031,0.167146
4.4497,208.7280,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000091,1.334569,-0.073054,0.992251,0.000044,0.759999,0.020000,0.173292,0.177910,0.183770,0.180207
4.4960,208.7480,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000091,1.329052,-0.093055,0.974386,0.000045,0.759999,0.020000,0.182574,0.187190,0.192578,0.189218
4.5239,208.7680,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000091,1.322882,-0.113055,0.956285,0.000045,0.759999,0.020000,0.187364,0.191917,0.197073,0.193810
4.5688,208.7880,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000091,1.316073,-0.133056,0.937957,0.000045,0.759999,0.020000,0.202311,0.206421,0.210890,0.207917
4.6086,208.8080,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000091,1.308641,-0.153056,0.919412,0.000046,0.759999,0.020000,0.207479,0.211359,0.215605,0.212722
4.6467,208.8280,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,1.300601,-0.173057,0.900658,0.000046,0.759999,0.020000,0.223508,0.226463,0.230044,0.227434
4.6870,208.8480,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,1.291968,-0.193057,0.881704,0.000046,0.759999,0.020000,0.234606,0.236756,0.239902,0.237465
4.7257,208.8680,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,1.282757,-0.213058,0.862559,0.000046,0.759999,0.020000,0.246008,0.247213,0.249928,0.247661
4.7673,208.8880,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,1.272985,-0.233058,0.843234,0.000046,0.759999,0.020000,0.251815,0.252499,0.255002,0.252815
